entity_name,principal_name,address,discovery_source,source_url,entity_type,aum_range,raw_payload
AMERICAN FAMILY LEGACY GROUP,,"3030 N ROCKY POINT DR W, SUITE 150, TAMPA, FL, 33607, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/154050,IAPD: ACTIVE,,"{""entity_name"": ""AMERICAN FAMILY LEGACY GROUP"", ""address"": ""3030 N ROCKY POINT DR W, SUITE 150, TAMPA, FL, 33607, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""154050""}"
FAMILY OFFICE INVESTMENT ADVISORY LLC,,"6991 E. CAMELBACK RD.,, SUITE D-300, SCOTTSDALE, AZ, 85251, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/339607,IAPD: ACTIVE,,"{""entity_name"": ""FAMILY OFFICE INVESTMENT ADVISORY LLC"", ""address"": ""6991 E. CAMELBACK RD.,, SUITE D-300, SCOTTSDALE, AZ, 85251, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""339607""}"
"FUTR FAMILY MANAGEMENT, LLC",,"2131 PALOMAR AIRPORT ROAD, SUITE 237, CARLSBAD, CA, 92011, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/146542,IAPD: INACTIVE,,"{""entity_name"": ""FUTR FAMILY MANAGEMENT, LLC"", ""address"": ""2131 PALOMAR AIRPORT ROAD, SUITE 237, CARLSBAD, CA, 92011, United States"", ""entity_type"": ""IAPD: INACTIVE"", ""crd"": ""146542""}"
JAMES FAMILY CAPITAL,,"1800 JFK BLVD, STE 300, PHILADELPHIA, PA, 19103, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/288584,IAPD: INACTIVE,,"{""entity_name"": ""JAMES FAMILY CAPITAL"", ""address"": ""1800 JFK BLVD, STE 300, PHILADELPHIA, PA, 19103, United States"", ""entity_type"": ""IAPD: INACTIVE"", ""crd"": ""288584""}"
"HUGHES FAMILY CAPITAL, LLC",,"1300 MICHIGAN STREET NORTHEAST, SUITE 100, GRAND RAPIDS, MI, 49503, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/338201,IAPD: ACTIVE,,"{""entity_name"": ""HUGHES FAMILY CAPITAL, LLC"", ""address"": ""1300 MICHIGAN STREET NORTHEAST, SUITE 100, GRAND RAPIDS, MI, 49503, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""338201""}"
FAMILY CAPITAL MANAGEMENT,,"168 LOUIS CAMPAU PROMENADE NW,, SUITE 500, GRAND RAPIDS, MI, 49503, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/111230,IAPD: ACTIVE,,"{""entity_name"": ""FAMILY CAPITAL MANAGEMENT"", ""address"": ""168 LOUIS CAMPAU PROMENADE NW,, SUITE 500, GRAND RAPIDS, MI, 49503, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""111230""}"
FOUNDERS FAMILY OFFICE,,"98 SE 7TH ST, SUITE 620, MIAMI, FL, 33131, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/315653,IAPD: ACTIVE,,"{""entity_name"": ""FOUNDERS FAMILY OFFICE"", ""address"": ""98 SE 7TH ST, SUITE 620, MIAMI, FL, 33131, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""315653""}"
"C&S FAMILY ADVISORS, LLC",,"345 CALIFORNIA STREET, SUITE 600, SAN FRANCISCO, CA, 94104, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/304949,IAPD: INACTIVE,,"{""entity_name"": ""C&S FAMILY ADVISORS, LLC"", ""address"": ""345 CALIFORNIA STREET, SUITE 600, SAN FRANCISCO, CA, 94104, United States"", ""entity_type"": ""IAPD: INACTIVE"", ""crd"": ""304949""}"
"FAMILY CAPITAL ADVISORS, LLC",,"ATLANTA, GA, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/291257,IAPD: ACTIVE,,"{""entity_name"": ""FAMILY CAPITAL ADVISORS, LLC"", ""address"": ""ATLANTA, GA, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""291257""}"
"FAMILY PARTNERS CAPITAL, LLC",,"587R BAY ROAD, HAMILTON, MA, 01936, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/304176,IAPD: ACTIVE,,"{""entity_name"": ""FAMILY PARTNERS CAPITAL, LLC"", ""address"": ""587R BAY ROAD, HAMILTON, MA, 01936, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""304176""}"
"SWEETWOOD FAMILY CAPITAL, LLC",,"SCARBOROUGH, ME, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/284865,IAPD: INACTIVE,,"{""entity_name"": ""SWEETWOOD FAMILY CAPITAL, LLC"", ""address"": ""SCARBOROUGH, ME, United States"", ""entity_type"": ""IAPD: INACTIVE"", ""crd"": ""284865""}"
WOODLOCK HOUSE FAMILY CAPITAL,,"MOUNT AIRY, MD, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/300051,IAPD: ACTIVE,,"{""entity_name"": ""WOODLOCK HOUSE FAMILY CAPITAL"", ""address"": ""MOUNT AIRY, MD, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""300051""}"
"SAFE HARBOR FAMILY CAPITAL, LLC",,"123 WEST FRANKLIN STREET, SUITE 540, CHAPEL HILL, NC, 27516, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/317547,IAPD: ACTIVE,,"{""entity_name"": ""SAFE HARBOR FAMILY CAPITAL, LLC"", ""address"": ""123 WEST FRANKLIN STREET, SUITE 540, CHAPEL HILL, NC, 27516, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""317547""}"
MACI FAMILY OFFICE ADVISORS,,"110 EAST 42ND STREET, SUITE 1508, NEW YORK, NY, 10017, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/158302,IAPD: ACTIVE,,"{""entity_name"": ""MACI FAMILY OFFICE ADVISORS"", ""address"": ""110 EAST 42ND STREET, SUITE 1508, NEW YORK, NY, 10017, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""158302""}"
"ALPHA CAPITAL FAMILY OFFICE, LLC",,"5750 S. ULSTER CIRCLE EAST, SUITE 300, GREENWOOD VILLAGE, CO, 80111, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/307521,IAPD: ACTIVE,,"{""entity_name"": ""ALPHA CAPITAL FAMILY OFFICE, LLC"", ""address"": ""5750 S. ULSTER CIRCLE EAST, SUITE 300, GREENWOOD VILLAGE, CO, 80111, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""307521""}"
FAMILY OFFICE VENTURE CAPITAL LLC,,"500 WEST PUTNAM AVENUE, SUITE 400, GREENWICH, CT, 06830, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/306372,IAPD: ACTIVE,,"{""entity_name"": ""FAMILY OFFICE VENTURE CAPITAL LLC"", ""address"": ""500 WEST PUTNAM AVENUE, SUITE 400, GREENWICH, CT, 06830, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""306372""}"
FIFTH AVENUE FAMILY OFFICE,,"3003 TAMIAMI TRAIL NORTH, SUITE 410, NAPLES, FL, 34103, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/122448,IAPD: ACTIVE,,"{""entity_name"": ""FIFTH AVENUE FAMILY OFFICE"", ""address"": ""3003 TAMIAMI TRAIL NORTH, SUITE 410, NAPLES, FL, 34103, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""122448""}"
NAGEL FAMILY CAPITAL MANAGEMENT LLC,,"8285 W SUNSET BLVD., SUITE 7A, WEST HOLLYWOOD, CA, 90046, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/287502,IAPD: INACTIVE,,"{""entity_name"": ""NAGEL FAMILY CAPITAL MANAGEMENT LLC"", ""address"": ""8285 W SUNSET BLVD., SUITE 7A, WEST HOLLYWOOD, CA, 90046, United States"", ""entity_type"": ""IAPD: INACTIVE"", ""crd"": ""287502""}"
DOLBY FAMILY CAPITAL MANAGEMENT LLC,,"999 BRANNAN STREET, PENTHOUSE SUITE, SAN FRANCISCO, CA, 94103, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/313971,IAPD: ACTIVE,,"{""entity_name"": ""DOLBY FAMILY CAPITAL MANAGEMENT LLC"", ""address"": ""999 BRANNAN STREET, PENTHOUSE SUITE, SAN FRANCISCO, CA, 94103, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""313971""}"
CHERRY CREEK FAMILY OFFICES,,"210 UNIVERSITY BLVD, SUITE 650, DENVER, CO, 80206, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/156310,IAPD: ACTIVE,,"{""entity_name"": ""CHERRY CREEK FAMILY OFFICES"", ""address"": ""210 UNIVERSITY BLVD, SUITE 650, DENVER, CO, 80206, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""156310""}"
FAMILYWEALTH ASSET MANAGEMENT,,"255 PRIMERA BLVD, SUITE 160, LAKE MARY, FL, 32746, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/147869,IAPD: ACTIVE,,"{""entity_name"": ""FAMILYWEALTH ASSET MANAGEMENT"", ""address"": ""255 PRIMERA BLVD, SUITE 160, LAKE MARY, FL, 32746, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""147869""}"
"MERIWETHER FAMILY OFFICE, LLC",,"2001 NW 19TH, SUITE 103 B, PORTLAND, OR, 97209, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/166010,IAPD: ACTIVE,,"{""entity_name"": ""MERIWETHER FAMILY OFFICE, LLC"", ""address"": ""2001 NW 19TH, SUITE 103 B, PORTLAND, OR, 97209, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""166010""}"
MUTUAL TRUST ADVISORY GROUP,,"23190 FASHION DRIVE, SUITE P203, ESTERO, FL, 33928, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/277060,IAPD: ACTIVE,,"{""entity_name"": ""MUTUAL TRUST ADVISORY GROUP"", ""address"": ""23190 FASHION DRIVE, SUITE P203, ESTERO, FL, 33928, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""277060""}"
CORIENT SHC WEALTH MANAGEMENT (US) LP,,"TWO LIBERTY PLACE, FLOOR 34, PHILADELPHIA, PA, 19102, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/151225,IAPD: ACTIVE,,"{""entity_name"": ""CORIENT SHC WEALTH MANAGEMENT (US) LP"", ""address"": ""TWO LIBERTY PLACE, FLOOR 34, PHILADELPHIA, PA, 19102, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""151225""}"
361 CAPITAL LLC,,"4600 SOUTH SYRACUSE STREET, SUITE 500, DENVER, CO, 80237, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/118203,IAPD: INACTIVE,,"{""entity_name"": ""361 CAPITAL LLC"", ""address"": ""4600 SOUTH SYRACUSE STREET, SUITE 500, DENVER, CO, 80237, United States"", ""entity_type"": ""IAPD: INACTIVE"", ""crd"": ""118203""}"
"IFG ADVISORY, LLC",,"200 ASHFORD CENTER NORTH, SUITE 400, ATLANTA, GA, 30338, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/168012,IAPD: ACTIVE,,"{""entity_name"": ""IFG ADVISORY, LLC"", ""address"": ""200 ASHFORD CENTER NORTH, SUITE 400, ATLANTA, GA, 30338, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""168012""}"
CAPTRUST,,"4208 SIX FORKS RD, SUITE 1700, RALEIGH, NC, 27609, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/175112,IAPD: ACTIVE,,"{""entity_name"": ""CAPTRUST"", ""address"": ""4208 SIX FORKS RD, SUITE 1700, RALEIGH, NC, 27609, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""175112""}"
"GOOD LIFE ADVISORS, LLC",,"1420 CELEBRATION BLVD., SUITE 109, CELEBRATION, FL, 34747, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/171898,IAPD: ACTIVE,,"{""entity_name"": ""GOOD LIFE ADVISORS, LLC"", ""address"": ""1420 CELEBRATION BLVD., SUITE 109, CELEBRATION, FL, 34747, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""171898""}"
DYNAMIC,,"2415 EAST CAMELBACK ROAD, SUITE 700, PHOENIX, AZ, 85016, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/151367,IAPD: ACTIVE,,"{""entity_name"": ""DYNAMIC"", ""address"": ""2415 EAST CAMELBACK ROAD, SUITE 700, PHOENIX, AZ, 85016, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""151367""}"
"SILVER OAK SECURITIES, INCORPORATED",,"403 N. PARKWAY, STE. 101, JACKSON, TN, 38305, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/46947,IAPD: ACTIVE,,"{""entity_name"": ""SILVER OAK SECURITIES, INCORPORATED"", ""address"": ""403 N. PARKWAY, STE. 101, JACKSON, TN, 38305, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""46947""}"
NEWEDGE ADVISORS,,"858 CAMP STREET, NEW ORLEANS, LA, 70130, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/171351,IAPD: ACTIVE,,"{""entity_name"": ""NEWEDGE ADVISORS"", ""address"": ""858 CAMP STREET, NEW ORLEANS, LA, 70130, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""171351""}"
SIMPLICITY WEALTH,,"475 SPRINGFIELD AVE., SUITE #1, SUMMIT, NJ, 07901, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/300572,IAPD: ACTIVE,,"{""entity_name"": ""SIMPLICITY WEALTH"", ""address"": ""475 SPRINGFIELD AVE., SUITE #1, SUMMIT, NJ, 07901, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""300572""}"
ADVISORY SERVICES NETWORK,,"900 ASHWOOD PARKWAY, SUITE 500, ATLANTA, GA, 30338, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/146051,IAPD: ACTIVE,,"{""entity_name"": ""ADVISORY SERVICES NETWORK"", ""address"": ""900 ASHWOOD PARKWAY, SUITE 500, ATLANTA, GA, 30338, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""146051""}"
FSC SECURITIES CORPORATION,,"2300 WINDY RIDGE PKWY, SUITE 750, ATLANTA, GA, 30339, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/7461,IAPD: INACTIVE,,"{""entity_name"": ""FSC SECURITIES CORPORATION"", ""address"": ""2300 WINDY RIDGE PKWY, SUITE 750, ATLANTA, GA, 30339, United States"", ""entity_type"": ""IAPD: INACTIVE"", ""crd"": ""7461""}"
