entity_name,principal_name,address,discovery_source,source_url,entity_type,aum_range,raw_payload
Crown Family Foundation,,"30 SOUTH WELLS STREET 4049, Chicago, IL, 60606-5054",ProPublica,https://projects.propublica.org/nonprofits/organizations/363330462,,,"{""entity_name"": ""Crown Family Foundation"", ""principal_name"": null, ""address"": ""30 SOUTH WELLS STREET 4049, Chicago, IL, 60606-5054""}"
Crabill Family Foundation,KYLE KLOPFER,"135 MAIN ST STE 850, San Francisco, CA, 94105-8117",ProPublica,https://projects.propublica.org/nonprofits/organizations/832152945,,,"{""entity_name"": ""Crabill Family Foundation"", ""principal_name"": ""KYLE KLOPFER"", ""address"": ""135 MAIN ST STE 850, San Francisco, CA, 94105-8117""}"
Goldring Family Foundation,TRUDI BRIEDE,"524 METAIRIE RD, Metairie, LA, 70005-4308",ProPublica,https://projects.propublica.org/nonprofits/organizations/726022666,,,"{""entity_name"": ""Goldring Family Foundation"", ""principal_name"": ""TRUDI BRIEDE"", ""address"": ""524 METAIRIE RD, Metairie, LA, 70005-4308""}"
Sobrato Family Foundation,VEENA MAHADEVAN,"599 CASTRO ST STE 400, Mountain View, CA, 94041-3009",ProPublica,https://projects.propublica.org/nonprofits/organizations/770348912,,,"{""entity_name"": ""Sobrato Family Foundation"", ""principal_name"": ""VEENA MAHADEVAN"", ""address"": ""599 CASTRO ST STE 400, Mountain View, CA, 94041-3009""}"
Spaht Family Foundation,PAUL HOLDEN SPAHT JR,"135 MAIN ST STE 850, San Francisco, CA, 94105-8117",ProPublica,https://projects.propublica.org/nonprofits/organizations/832183149,,,"{""entity_name"": ""Spaht Family Foundation"", ""principal_name"": ""PAUL HOLDEN SPAHT JR"", ""address"": ""135 MAIN ST STE 850, San Francisco, CA, 94105-8117""}"
Wyatt Family Foundation,TODD YUBA,"1111 CHAPALA ST STE 200, Santa Barbara, CA, 93101-3100",ProPublica,https://projects.propublica.org/nonprofits/organizations/931503406,,,"{""entity_name"": ""Wyatt Family Foundation"", ""principal_name"": ""TODD YUBA"", ""address"": ""1111 CHAPALA ST STE 200, Santa Barbara, CA, 93101-3100""}"
Dunlap Family Foundation,,"12 GRANDVIEW CIR, Canonsburg, PA, 15317-8533",ProPublica,https://projects.propublica.org/nonprofits/organizations/884360481,,,"{""entity_name"": ""Dunlap Family Foundation"", ""principal_name"": null, ""address"": ""12 GRANDVIEW CIR, Canonsburg, PA, 15317-8533""}"
Koum Family Foundation,AUDREY K SCOTT,"1801 PAGE MILL RD STE 100, Palo Alto, CA, 94304-1216",ProPublica,https://projects.propublica.org/nonprofits/organizations/475446562,,,"{""entity_name"": ""Koum Family Foundation"", ""principal_name"": ""AUDREY K SCOTT"", ""address"": ""1801 PAGE MILL RD STE 100, Palo Alto, CA, 94304-1216""}"
Steans Family Foundation,,"50 E WASHINGTON ST STE 400, Chicago, IL, 60602-2100",ProPublica,https://projects.propublica.org/nonprofits/organizations/363486843,,,"{""entity_name"": ""Steans Family Foundation"", ""principal_name"": null, ""address"": ""50 E WASHINGTON ST STE 400, Chicago, IL, 60602-2100""}"
Mulva Family Foundation,JAMES J MULVA,"200 CONGRESS AVE UNIT 49UT, Austin, TX, 78701-0074",ProPublica,https://projects.propublica.org/nonprofits/organizations/203221183,,,"{""entity_name"": ""Mulva Family Foundation"", ""principal_name"": ""JAMES J MULVA"", ""address"": ""200 CONGRESS AVE UNIT 49UT, Austin, TX, 78701-0074""}"
